,RunId,iteration,Step,width,height,visibility,wind,temperature,drone,path,AgentID,battery_drone,position_drone_x,position_drone_y,position_person_x,position_person_y
0,0,0,0,100,100,500,10,20,5,False,1,1.0,1.0,1.0,12.0,81.0
1,0,0,0,100,100,500,10,20,5,False,2,1.0,1.0,1.0,12.0,81.0
2,0,0,1,100,100,500,10,20,5,False,1,0.999583,1.0,1.7673,11.963,81.0
3,0,0,1,100,100,500,10,20,5,False,2,0.999583,1.0,1.7673,11.963,81.0
4,0,0,2,100,100,500,10,20,5,False,1,0.999166,1.0,2.5346,11.963,81.042
5,0,0,2,100,100,500,10,20,5,False,2,0.999166,1.0,2.5346,11.963,81.042
6,0,0,3,100,100,500,10,20,5,False,1,0.998749,1.0,3.3019000000000003,11.963,81.042
7,0,0,3,100,100,500,10,20,5,False,2,0.998749,1.0,3.3019000000000003,11.963,81.042
8,0,0,4,100,100,500,10,20,5,False,1,0.998332,1.0,4.0692,12.0,81.042
9,0,0,4,100,100,500,10,20,5,False,2,0.998332,1.0,4.0692,12.0,81.042
10,0,0,5,100,100,500,10,20,5,False,1,0.997915,1.0,4.8365,11.973,81.015
11,0,0,5,100,100,500,10,20,5,False,2,0.997915,1.0,4.8365,11.973,81.015
12,0,0,6,100,100,500,10,20,5,False,1,0.997428,1.0,5.6038,12.015,81.015
13,0,0,6,100,100,500,10,20,5,False,2,0.997428,1.0,5.6038,12.015,81.015
14,0,0,7,100,100,500,10,20,5,False,1,0.996931,1.0,6.371099999999999,12.015,81.015
15,0,0,7,100,100,500,10,20,5,False,2,0.996931,1.0,6.371099999999999,12.015,81.015
16,0,0,8,100,100,500,10,20,5,False,1,0.996514,1.0,7.138399999999999,12.052000000000001,80.978
17,0,0,8,100,100,500,10,20,5,False,2,0.996514,1.0,7.138399999999999,12.052000000000001,80.978
18,0,0,9,100,100,500,10,20,5,False,1,0.996097,1.0,7.905699999999999,12.079,80.951
19,0,0,9,100,100,500,10,20,5,False,2,0.996097,1.0,7.905699999999999,12.079,80.951
